pixel_area,pixel_height,real_height_cm,actual_weight_kg
83248.5,587,180.34,117.93392
206342.0,600,180.34,122.46984
127003.0,515,180.34,127.00576
117815.0,483,180.34,131.54168
128940.5,600,180.34,136.0776
238343.5,600,180.34,140.61352
207605.0,600,180.34,163.29312
133112.0,600,180.34,167.82904
91809.5,600,157.48,45.3592
217501.5,600,157.48,49.89512
49861.0,396,157.48,54.43104
181723.0,600,157.48,58.96696
205211.5,600,157.48,63.50288
212999.5,600,157.48,68.0388
71785.5,554,157.48,72.57472
152202.5,461,157.48,77.11064
34737.5,417,157.48,81.64656
55445.0,353,157.48,86.18248
106601.0,574,157.48,90.7184
62829.5,539,157.48,95.25432
153423.0,574,157.48,99.79024
87386.0,374,157.48,104.32616
148383.0,600,157.48,113.398
42973.5,370,157.48,131.54168
78106.0,593,157.48,149.68536
47654.5,559,157.48,40.82328
166161.5,582,160.02,45.3592
130252.0,554,160.02,49.89512
76082.5,568,160.02,54.43104
55705.5,391,160.02,63.50288
107025.5,600,160.02,68.0388
43053.5,505,160.02,72.57472
47192.5,375,160.02,77.11064
138717.0,600,160.02,81.64656
150488.0,576,160.02,86.18248
191148.0,600,160.02,90.7184
48580.5,369,160.02,95.25432
153322.5,600,160.02,99.79024
131182.0,600,160.02,104.32616
219202.0,600,160.02,108.86208
141758.5,600,160.02,113.398
61053.5,559,160.02,122.46984
93791.5,500,160.02,136.0776
138747.5,600,160.02,167.82904
205822.5,600,160.02,40.82328
158552.5,600,162.56,45.3592
51435.0,546,162.56,49.89512
86647.5,379,162.56,54.43104
131442.5,600,162.56,58.96696
127849.0,590,162.56,63.50288
91601.5,600,162.56,68.0388
77641.5,496,162.56,72.57472
179055.5,600,162.56,77.11064
37657.0,163,162.56,81.64656
180368.5,600,162.56,86.18248
235984.5,600,162.56,90.7184
156048.5,575,162.56,95.25432
191201.5,600,162.56,104.32616
82898.5,484,162.56,108.86208
117033.0,487,162.56,113.398
161300.0,600,162.56,117.93392
111696.5,596,162.56,145.14944
158468.0,600,162.56,40.82328
117450.5,600,165.1,45.3592
67739.0,548,165.1,49.89512
202507.5,581,165.1,54.43104
86175.5,418,165.1,58.96696
